10leisureservicescenter,leisureservicescenter
11apalacheehighschool,apalacheehighschool
12midwayunitedmethodistchurch,midwayunitedmethodistchurch
13windercommunitycenter,windercommunitycenter
14cedarcreekbaptistchurch,cedarcreekbaptistchurch
15countylineelementaryschool,countylineelementaryschool
16thechurchatwinder,thechurchatwinder
1bethlehemcommunitycenter,bethlehemcommunitycenter
2bethlehemchurch-211,bethlehemchurch-211campus
3bramlettelementaryschool,bramlettelementaryschool
4westsidemiddleschool,westsidemiddleschool
5firestation1(statham),firestation1(statham)
6winderbarrowhighschool,winder-barrowhighschool
7stathamelementaryschool,stathamelementaryschool
8firstbaptistchurch,firstbaptistchurchwinder
9lionsclub,lionsclub
