1-01firstpresbyterianchurch,firstpresbyterianchurch
1-05jeabuilding,jea
1-06centralchurofchrist,centralchurchofchrist
1-08graceunitedmethchur,graceunitedmethodistchurch
1-09immanuelbaptchurch,immanuelbaptistchurch
1-10saintthomasepiscopalchurch,st.thomasepiscopalchurch
1-12isleofhopebaptist,isleofhopebaptist
1-13thesanctuary,thesanctuary
1-14stlukechurch,stlukechurch
1-16fergusonavebaptist,fergusonavebaptist
1-17islandschristianchurch,islandschristianch
2-02blackshearcommctr,blackshearcommunitycenter
2-03w.w.lawcenter,wwlawcenter
2-04fellowshipoflove,fellowshipoflovecommunitychurch
2-05holyspiritlutheran,holyspiritlutheranchurch
2-06eliwhitney,2-06Celiwhitneycomplex
2-07christcomm.church,christcommunitychurchatmorningside
2-09thesalvationarmy,salvationarmy
2-11stillwelltowers,stillwelltowers
2-12williamscourt,williamscourtapts
3-01oldcourthouse,oldcourthouse
3-02roseofsharon,roseofsharon
3-03savannahhighschool,savannahhighschool
3-04firstafricanbaptist,firstafricanbaptistchurch
3-05aldersgateyouthcent,aldersgateyouthcenter
3-08jenkinshighschool,jenkinshighschool
3-09cokesburymethodist,cokesburymethodistchurch
3-10biblebaptistchurch,biblebaptistchurch
3-11southsidebaptchurch,southsidebaptistch
3-12thunderboltmuni.complex,thunderboltmuncomp
3-13newcov7dayadvch,newcov7dayadvch
3-14oglethorpe,oglethorpecharteracademy
3-15eliwhitneycomplex,3-15Celiwhitneycomplex
4-02frankmurraycommct,frankmurraycommunitycenter
4-04lighthousebaptistch,lighthousebaptistchurch
4-05stfrancisepiscopal,saintfrancisepiscopalchurch
4-06firstbaptistchurch,firstbaptistchurchoftheisland
4-07wilmisunmethch,wilmingtonislandunitedmethodistchurch
4-08wilmingtonislandpr,wilmingtonislandpresbyterianchurch
4-10guardhousecommctr,guardhousecommctr
4-11tybeeislandschoolcafe,tybeeisschcafe
4-12stpetersepiscopal,stpetersepiscopal
4-13skidispreschurch,skidispreschurch
4-14skidawayislandmethodistchurch,skidmethodistch
4-15skidawayislandstatepark,skidawayislandstat
5-01bartlettmiddlesch,bartlettmiddleschool
5-02seniorcitizenscent,seniorcitizencenter
5-03butlerpresbyterian,butlerpresbyterianchurchedbldg
5-05libertycitycommctr,libertycitycommunitycenter
5-06seedchurch,seedchurch
5-07elkslodge,elkslodge
5-08savannahprimitive,savannahprimitivebaptistchurch
5-10jonesvillebaptchurch,jonesvillebaptch
5-11largo-tibetelem,largo-tibetelementa
6-01whitebluffpreschr,whitebluffpresbyterianchurch
6-02windsorforestbaptist,windsorforestbaptistchurchschool
6-03crusadercommctr,crusadercommunitycenter
6-05windsorforestgolde,windsorhall
6-06thelight,thelightchurch
6-08savannahcommons,savannahcommons
6-09trinitylutheranch,trinitylutheranchurch
6-10georgetownelem,georgetownelementar
6-11bamboofarms,bamboofarms
7-01gardencityseniorctr,gardencityseniorcenter
7-03pbedwardsgym,pbedwardsgymnasium
7-04lakeshorecommctr,lakeshorecommunitycenter
7-05woodlawnbaptch,woodlawnbaptistchurch
7-06poolercityhall,poolercityhall
7-07rothwellbaptch,rothwellbaptistchurch
7-08bloomingdalecomctr,bloomingdalecommunitycenter
7-09savannahholy,savannahholychurchofgod
7-10progressiverecctr,progressiverecctr
7-11seventhdayadvchr,seventhdayadvchr
7-12poolerchurch,poolerchurch
7-13southsidefire,southsidefiretrainingcenter
7-14coastalcathedral,coastalcathedral
7-15ricecreekschool,ricecreekschool
8-01civiccenter,civiccenter
8-02helleniccenter,helleniccenter
8-03silkhopebaptch,silkhopebaptistchurch
8-05wbroadstymca,westbroadstreetymca
8-06tompkinsrecctr,tompkinsrecreationcenter
8-07woodville-tompkins,woodville-tompkinstechnicalinst
8-08resurofourlordch,resurrectionofourlordcatholicchurch
8-09mosesjacksonctr,mosesjacksoncenter
8-10carverheightscomm,carverheightscomm
8-11butlerelemschool,butlerelementarysc
8-12beachhighschool,beachhighschool
8-13savannahchrist.sch,savannahchristians
8-15gardencityrecctr,gardencityrecctr
