1aw'villetraindepot,1a
1be.athensbaptist,1b
1cbarnettshlsschool,1c
1dwhitdavisschool,1d
2ajudiaj.harrissch,2a
2bhowardstroudschool,2b
3aclarkecentralhigh,3a
3bthomasn.laypark,3b
4aathenstransitctr,4a
4bmemorialpark,4b
5aoglethorpeschool,5a
5bwhiteheadrdschool,5b
5cchasestreetschool,5c
5daccfleetmgtbldg,5d
6aclevelandrdschool,6a
6bgeorgiasquaremall,6b
6ctimothyrdelemschl,6c
6dfirestation#4,6d
7atimothybptstchurch,7a
7bathensregionallibrary,7b
7cfirestation#3,7c
8againesschool,8a
8bcedarshlshighsch,8b
8cfirestation#7,8c
