allgoodelem,allgoodelem
ashforddunwoodyrd,ashforddunwoodyrd(bhavn)
ashfordparkelem,ashfordparkelem(bhavn)
ashfordparkside,ashfordparkside(bhavn)
austin,austin(dun)
austindrive,austindrive
avondale,avondale(avo)
avondalehigh-04,avondalehigh
avondalehigh-05,avondalehigh
bethunemiddle,bethunemiddle
bouldercrestrd,bouldercrestroad
boulevard,boulevard(atl)
briarcliff,briarcliff
briarlakeelem,briarlakeelem
briarvistaelem,briarvistaelem
briarwood,briarwood(bhavn)
brockett,brockett(tuc)
brockettelem,brockettelem(tuc)
brookhaven,brookhaven(bhavn)
brownsmillelem,brownsmillelem
burgesselem,burgesselem(atl)
canbylaneelem,canbylaneelem
candler,candler
candler-murpheycandlerelem,candler-murpheycandlerelem
cedargroveelem,cedargroveelem
cedargrovemiddle,cedargrovemiddle
cedargrovesouth,cedargrovesouth
chamblee,chamblee(cha)
chamblee2,chamblee2(cha)
chapelhillelem,chapelhillelem
chesnutelem,chesnutelem(dun)
clairemonteast,clairemonteast(dec)
clairemontwest,clairemontwest(dec)
clairmontroad,clairmontroad
clarkston,clarkston(cla)
clifton,clifton
coanrecreationcenter,coanrecreationcenter(atl)
columbiadrive,columbiadrive
columbiaelem,columbiaelem
columbiamiddle,columbiamiddle
coralwood,coralwood
covington,covington
covingtonhighway,covingtonhwy
crosskeyshigh,crosskeyshigh(bhavn)
crossroads,crossroads
doravillenorth,doravillenorth(dor)
doravillesouth,doravillesouth(dor)
dresdenelem,dresdenelem(cha)
druidhillshigh,druidhillshigh
dunaireelem,dunaireelem
dunwoody,dunwoody(dun)
dunwoody2,dunwoody2(dun)
dunwoodylibrary,dunwoodylibrary(dun)
eastlake,eastlake(atl)
embryhills,embryhills
emoryroad,emoryroad
emorysouth,emorysouth
epworth,epworth(atl)
evansdaleelem,evansdaleelem
fairingtonelem,fairingtonelem
fernbankelem,fernbankelem
flakesmillfirestation,flakesmillfirestation
flatrockelem,flatrockelem
flatshoals,flatshoals
flatshoalselem,flatshoalselem
flatshoalslibrary,flatshoalslibrary
flatshoalsparkway,flatshoalsparkway
freedommiddle,freedommiddle
georgetownsquare,georgetownsq(dun)
glenhaven,glenhaven
glennwood-04,glennwood(dec)
glennwood-05,glennwood(dec)
glenwoodroad,glenwoodroad
greshamroad,greshamroad
hambrickelem,hambrickelem
harris-margaretharrised,harris-margaretharrised
harris-narviej.harriselem,narviejharriselem
hawthorneelem,hawthorneelem
hendersonmill,hendersonmill
hughhowell,hughhowell
huntleyhillselem,huntleyhillselem(cha)
idlewoodelem,idlewoodelem(tuc)
indiancreek,indiancreek
johnsonestates,johnsonestates(atl)
jollyelem,jollyelem
kelleychapelroad,kelleychapelroad
kelleylakeelem,kelleylakeelem
king-mlkingjrhigh,king-mlkingjrhigh
kingsleyelem,kingsleyelem(dun)
kittredgeelem,kittredgeelem(bhavn)
knollwood,knollwood
lakesidehigh,lakesidehigh
lavista,lavista
lavistaroad,lavistaroad
lin-marylinelem,lin-marylinelem(atl)
lithonia,lithonia(lit)
lithoniahigh,lithoniahigh
livseyelem,livseyelem
marbutelem,marbutelem
mathis-bobmathiselem,mathis-bobmathiselem
mclendon,mclendon
mcnair,mcnair
mcnairacademy,mcnairacademy
mcnairhigh,mcnairhigh
mcwilliams,mcwilliams
meadowview,meadowview
medlock,medlock
memorialsouth,memorialsouth
metropolitan,metropolitan(atl)
midvaleelem,midvaleelem
midvaleroad,midvaleroad
midway,midway
miller-eldridgel.millerelem,miller-eldridgelmillerelem
millergrove,millergrove
millergrovehigh,millergrovehigh
millergroveroad,millergroveroad
montclairelem,montclairelem
montgomeryelem,montgomeryelem(bhavn)
montreal,montreal
mt.vernoneast,mountvernoneast(dun)
mt.vernonwest,mountvernonwest(dun)
northdecatur,northdecatur
northhairston,northhairston
northlake,northlake
northpeachtree,northpeachtree(dun)
oakcliffelem,oakcliffelem
oakgroveelem,oakgroveelem
oakhurst,oakhurst(dec)
oakviewelem,oakviewelem
panola,panola
panolaroad,panolaroad
panolawayelem,panolawayelem
peachcrest,peachcrest
peachtreemiddle,peachtreemiddle(dun)
pinelake,pinelake(pin)
pineygrove,pineygrove
pleasantdaleroad,pleasantdaleroad
poncedeleon,poncedeleon(dec)
princetonelem,princetonelem
rainbowelem,rainbowelem
redan-trottilibrary,redan-trottilibrary
redanelem,redanelem
redanmiddle,redanmiddle
redanroad,redanroad
rehoboth,rehoboth
renfroemiddle,renfroe(dec)
rockbridgeelem,rockbridgeelem
rockbridgeroad,rockbridgeroad
rockchapelelem,rockchapelelem
rockchapelroad,rockchapelroad
rowlandelem,rowlandelem
rowlandroad,rowlandroad
sagamorehillselem,sagamorehillselem
salemmiddle,salemmiddle
scott,scott
shadowrockelem,shadowrockelem
shamrock,shamrock
shaw-robertshawelem,shaw-robertshawelem
silverlake,silverlake(bhavn)
skyland,skyland(bhavn)
smokerise,smokerise
snapfingerelem,snapfingerelem
snapfingerroadnorth,snapfingerroadn
snapfingerroadsouth,snapfingerroads
southdeshon,southdeshon
southhairston,southhairston
stephensonhigh,stephensonhigh
stephensonmiddle,stephensonmiddle
stonecrestlibrary(stc),stonecrestlibrary(stc)
stonemillelem,stonemillelem
stonemountain,stonemtn(sto)
stonemountainchampion,stonemtnchampion(sto)
stonemountainelem,stonemountainelem
stonemountainmiddle,stnmtnmiddle
stoneviewelem,stoneviewelem
terrymillelem,terrymill
tillymillroad,tillymillroad(dun)
toneyelem,toneyelem
tucker,tucker
tuckerlibrary,tuckerlibrary
valleybrook,valleybrook
wadsworth-04,wadsworth
wadsworth-05,wadsworth
warrentech,warrentech
wesleychapellibrary,wesleychapellibrary
whiteoak,whiteoak
winnonapark,winnonapark(dec)
winterschapel,winterschapel(dun)
woodridgeelem,woodridgeelem
woodrowroad,woodrowroad
woodward,woodward(bhavn)
wynbrookeelem,wynbrookeelem
youngroad,youngroad
