ballardcomplex,ballardcommunitybuilding
blytheislandbaptistchurch,blytheislandbaptistchurch
burroughs,burroughsmolette
careeracademy,careeracademy
cbgreerschool,cbgreerschool
christianrenewal,christianrenewal
collegeplace,collegeplace
firstbaptist,firstbaptist
howardcoffinpark,howardcoffinpark
jekyllisland,jekyllisland
marshesofglynn,marshesofglynn
northsidechurch,northsidechurch
oglethorpepoint,oglethorpepoint
satillamarshschool,satillamarshschool
sebaptistbldg,sebaptistbldg
seldenpark,seldenpark
sterlingchurchofgod,sterlingch.ofgod
sterlingelemschool,sterlingelementary
stwilliamschurch,stwilliamschurch
thechapel,thechapel
